sensor,x,y
595,267.7187500000,-283.5532226562
596,268.3662719727,-282.7649841309
597,269.0071411133,-281.9713134766
598,269.6413879395,-281.1723937988
599,270.2692871094,-280.3684082031
600,270.8908386230,-279.5595703125
601,271.5062561035,-278.7460021973
602,272.1156616211,-277.9279479980
603,272.7191772461,-277.1055603027
604,273.3169860840,-276.2789611816
605,273.9091796875,-275.4483642578
606,274.4959106445,-274.6139221191
607,275.0773620605,-273.7757873535
608,275.6536865234,-272.9340820312
609,276.2249450684,-272.0889892578
610,276.7913818359,-271.2406311035
611,277.3530578613,-270.3890991211
612,277.9102172852,-269.5346069336
613,278.4629211426,-268.6772766113
614,279.0113830566,-267.8171691895
615,279.5556945801,-266.9544982910
616,280.0960693359,-266.0893249512
617,280.6325683594,-265.2217407227
618,281.1654357910,-264.3519287109
619,281.6947937012,-263.4799499512
620,282.2207641602,-262.6059570312
621,282.7434997559,-261.7300415039
622,283.2631835938,-260.8522949219
623,283.7799377441,-259.9728088379
624,284.2939147949,-259.0917358398
625,284.8052673340,-258.2091064453
626,285.3141174316,-257.3250427246
627,285.8205261230,-256.4396057129
628,286.3246154785,-255.5528106689
629,286.8264465332,-254.6647644043
630,287.3261108398,-253.7754821777
631,287.8236694336,-252.8850402832
632,288.3192749023,-251.9934844971
633,288.8129577637,-251.1008758545
634,289.3048095703,-250.2072753906
635,289.7949523926,-249.3127288818
636,290.2834777832,-248.4172668457
637,290.7704162598,-247.5209960938
638,291.2558898926,-246.6239318848
639,291.7400512695,-245.7261047363
640,292.2229309082,-244.8276214600
641,292.7045898438,-243.9284820557
642,293.1851501465,-243.0287780762
643,293.6647338867,-242.1285400391
644,294.1434326172,-241.2278289795
645,294.6212768555,-240.3266601562
646,295.0984497070,-239.4251403809
647,295.5749511719,-238.5232696533
648,296.0509338379,-237.6211395264
649,296.5264892578,-236.7187652588
650,297.0017089844,-235.8162231445
651,297.4766235352,-234.9135437012
652,297.9514465332,-234.0107727051
653,298.4261779785,-233.1080017090
654,298.9009704590,-232.2052307129
655,299.3758850098,-231.3025360107
656,299.8509826660,-230.3999633789
657,300.3264770508,-229.4975738525
658,300.8023681641,-228.5954132080
659,301.2787780762,-227.6935272217
660,301.7557983398,-226.7919616699
661,302.2335510254,-225.8907775879
662,302.7121276855,-224.9900207520
663,303.1916198730,-224.0897827148
664,303.6721191406,-223.1900634766
665,304.1537475586,-222.2909393311
666,304.6365661621,-221.3924865723
667,305.1207275391,-220.4947204590
668,305.6062316895,-219.5977478027
669,306.0933227539,-218.7015838623
670,306.5820007324,-217.8062896729
671,307.0723876953,-216.9119567871
672,307.5646057129,-216.0186157227
673,308.0587463379,-215.1263122559
674,308.5549011230,-214.2351531982
675,309.0531616211,-213.3451843262
676,309.5536499023,-212.4564666748
677,310.0564575195,-211.5690460205
678,310.5616760254,-210.6830291748
679,311.0694580078,-209.7984313965
680,311.5798645020,-208.9153747559
681,312.0929870605,-208.0338897705
682,312.6089782715,-207.1540679932
683,313.1278686523,-206.2759704590
684,313.6496276855,-205.3995666504
685,314.1740112305,-204.5247344971
686,314.7008666992,-203.6513671875
687,315.2298889160,-202.7793121338
688,315.7609558105,-201.9084930420
689,316.2937927246,-201.0387725830
690,316.8281860352,-200.1699981689
691,317.3639526367,-199.3020477295
692,317.9008483887,-198.4348144531
693,318.4387207031,-197.5681304932
694,318.9772338867,-196.7019042969
695,319.5162658691,-195.8359832764
696,320.0556030273,-194.9702148438
697,320.5949707031,-194.1044921875
698,321.1341857910,-193.2386932373
699,321.6731262207,-192.3726654053
700,322.2114257812,-191.5063018799
701,322.7490234375,-190.6394500732
702,323.2856750488,-189.7720031738
703,323.8211059570,-188.9038391113
704,324.3551940918,-188.0348358154
705,324.8877563477,-187.1648712158
706,325.4185180664,-186.2938385010
707,325.9473571777,-185.4216156006
708,326.4740905762,-184.5481262207
709,326.9985046387,-183.6732177734
710,327.5204162598,-182.7968444824
711,328.0396728516,-181.9188690186
712,328.5560607910,-181.0392303467
713,329.0694580078,-180.1578369141
714,329.5797119141,-179.2745971680
715,330.0865478516,-178.3894348145
716,330.5899353027,-177.5022735596
717,331.0897216797,-176.6130523682
718,331.5856323242,-175.7217254639
719,332.0776367188,-174.8282012939
720,332.5655517578,-173.9324493408
721,333.0492858887,-173.0343933105
722,333.5286254883,-172.1340332031
723,334.0033264160,-171.2312164307
724,334.4723510742,-170.3254241943
725,334.9345397949,-169.4160919189
726,335.3885803223,-168.5026855469
727,335.8332519531,-167.5846710205
728,336.2670898438,-166.6614837646
729,336.6886901855,-165.7326354980
730,337.0964355469,-164.7976379395
731,337.4886474609,-163.8560028076
732,337.8634643555,-162.9073181152
733,338.2188415527,-161.9511566162
734,338.5525207520,-160.9872131348
735,338.8620300293,-160.0152587891
736,339.1446533203,-159.0351257324
737,339.3973999023,-158.0468597412
738,339.6168823242,-157.0506896973
739,339.7995910645,-156.0471191406
740,339.9416198730,-155.0369720459
741,340.0388183594,-154.0215606689
742,340.0869445801,-153.0026245117
743,340.0816345215,-151.9825897217
744,340.0189208984,-150.9644470215
745,339.8981018066,-149.9515686035
746,339.7212219238,-148.9469451904
747,339.4912109375,-147.9531402588
748,339.2113342285,-146.9721984863
749,338.8852539062,-146.0056304932
750,338.5167541504,-145.0544433594
751,338.1094360352,-144.1192016602
752,337.6669616699,-143.2000732422
753,337.1927795410,-142.2968902588
754,336.6900329590,-141.4093017578
755,336.1616516113,-140.5367279053
756,335.6103515625,-139.6784515381
757,335.0385742188,-138.8336791992
758,334.4485168457,-138.0015716553
759,333.8421936035,-137.1812438965
760,333.2214660645,-136.3717956543
761,332.5879516602,-135.5723114014
762,331.9431457520,-134.7818908691
763,331.2884521484,-133.9996643066
764,330.6250915527,-133.2247619629
765,329.9542846680,-132.4563293457
766,329.2770690918,-131.6935424805
767,328.5944519043,-130.9355773926
768,327.9073791504,-130.1816558838
769,327.2167663574,-129.4309692383
770,326.5234985352,-128.6827850342
771,325.8283386230,-127.9363327026
772,325.1321716309,-127.1908340454
773,324.4357910156,-126.4455718994
774,323.7399291992,-125.6997985840
775,323.0454406738,-124.9527664185
776,322.3530883789,-124.2037353516
777,321.6632995605,-123.4523925781
778,320.9757995605,-122.6989440918
779,320.2903137207,-121.9436416626
780,319.6065979004,-121.1867523193
781,318.9243164062,-120.4285202026
782,318.2432861328,-119.6692199707
783,317.5631408691,-118.9090957642
784,316.8836059570,-118.1484146118
785,316.2044067383,-117.3874511719
786,315.5252380371,-116.6264572144
787,314.8457336426,-115.8657226562
788,314.1656494141,-115.1055221558
789,313.4846496582,-114.3461303711
790,312.8024291992,-113.5878524780
791,312.1186523438,-112.8309860229
792,311.4329223633,-112.0758209229
793,310.7449951172,-111.3226928711
794,310.0545043945,-110.5719223022
795,309.3610839844,-109.8238296509
796,308.6643981934,-109.0787887573
797,307.9640502930,-108.3371429443
798,307.2597656250,-107.5992889404
799,306.5510864258,-106.8655929565
800,305.8377380371,-106.1364746094
801,305.1192626953,-105.4123687744
802,304.3953552246,-104.6937026978
