sensor,t11,t12,t21,t22,t31,t32,t41,t42,t51,t52,t61,t62
135,0.24592,0.24176,0.136,0.1072,0.08688,0.098,0.35328,0.75976,0.28472,0.35968,0.18024,0.29616
136,0.27816,0.24176,0.13344,0.106,0.0868,0.09488,0.39616,0.01512,0.28464,0.36248,0.16984,0.29616
137,0.28288,0.23728,0.13104,0.10576,0.08648,0.09504,0.24032,0.6224,0.39904,0.03928,0.17224,0.296
138,0.27336,0.2392,0.13952,0.11272,0.09064,0.10128,0.66064,0.75016,0.11944,0.27376,0.17216,0.29552
139,0.2676,0.23928,0.13616,0.10712,0.09344,0.10128,0.14512,0.2388,0.11904,0.34536,0.17224,0.296
140,0.27784,0.23912,0.1364,0.11248,0.08984,0.0992,0.69264,0.16824,0.14304,0.2556,0.1716,0.29624
141,0.26824,0.23912,0.13936,0.11088,0.08976,0.10032,0.49144,0.12336,0.05256,0.27008,0.17032,0.29616
142,0.27056,0.24544,0.13944,0.11184,0.09112,0.10008,0.4916,0.02776,0.08968,0.00408,0.17648,0.292
143,0.27064,0.24544,0.13992,0.1116,0.08872,0.09464,0.40296,0.74984,0.17912,0.33488,0.17712,0.2968
144,0.27072,0.24544,0.14056,0.10968,0.08888,0.10096,0.06552,0.4408,0.34432,0.33504,0.17696,0.29696
145,0.27528,0.23616,0.14232,0.1104,0.08592,0.08984,0.0656,0.42528,0.30584,0.02056,0.18272,0.29696
146,0.27312,0.26464,0.14176,0.11296,0.086,0.08984,0.46704,0.14768,0.15208,0.378,0.1784,0.29696
147,0.27312,0.24568,0.14896,0.11736,0.08552,0.09616,0.0612,0.14768,0.05856,0.27056,0.18424,0.29856
148,0.2712,0.24592,0.14744,0.11744,0.088,0.094,0.09832,0.11072,0.3012,0.26896,0.17696,0.29856
149,0.27352,0.25248,0.14752,0.1152,0.08824,0.08896,0.09848,0.11104,0.09816,0.02096,0.1784,0.3004
150,0.27672,0.25248,0.14192,0.11544,0.08816,0.09096,0.32584,0.62872,0.30136,0.04856,0.18032,0.31664
151,0.2768,0.24792,0.152,0.11528,0.07792,0.09464,0.32576,0.7676,0.03104,0.25768,0.17248,0.31728
152,0.27768,0.248,0.15216,0.11448,0.08904,0.09024,0.19168,0.66328,0.2988,0.32528,0.17704,0.31768
