sensor,x,y
441,159.7944183350,-372.2438354492
442,160.6372375488,-371.6961669922
443,161.4780273438,-371.1454162598
444,162.3167572021,-370.5915222168
445,163.1533966064,-370.0344543457
446,163.9878997803,-369.4741821289
447,164.8202362061,-368.9107055664
448,165.6503295898,-368.3440551758
449,166.4781494141,-367.7741394043
450,167.3036804199,-367.2009582520
451,168.1268463135,-366.6245422363
452,168.9476165771,-366.0447998047
453,169.7659606934,-365.4617309570
454,170.5818328857,-364.8753662109
455,171.3951721191,-364.2856140137
456,172.2059631348,-363.6925354004
457,173.0141601562,-363.0960388184
458,173.8197021484,-362.4961547852
459,174.6225585938,-361.8928527832
460,175.4226989746,-361.2861022949
461,176.2200622559,-360.6758728027
462,177.0146179199,-360.0621948242
463,177.8063201904,-359.4450073242
464,178.5951538086,-358.8243103027
465,179.3810119629,-358.2000427246
466,180.1639251709,-357.5722656250
467,180.9438171387,-356.9408874512
468,181.7206420898,-356.3059387207
469,182.4943695068,-355.6673889160
470,183.2649688721,-355.0251770020
471,184.0323791504,-354.3793029785
472,184.7965545654,-353.7297973633
473,185.5574645996,-353.0765686035
474,186.3150634766,-352.4196166992
475,187.0693054199,-351.7589111328
476,187.8201293945,-351.0944824219
477,188.5675201416,-350.4262695312
478,189.3114318848,-349.7542114258
479,190.0517883301,-349.0783691406
480,190.7885742188,-348.3986511230
481,191.5217437744,-347.7150573730
482,192.2512512207,-347.0275573730
483,192.9770355225,-346.3361511230
484,193.6990814209,-345.6408081055
485,194.4173126221,-344.9415283203
486,195.1317138672,-344.2382202148
487,195.8423156738,-343.5310363770
488,196.5494689941,-342.8202514648
489,197.2535400391,-342.1064147949
490,197.9549560547,-341.3898925781
491,198.6540985107,-340.6711425781
492,199.3513946533,-339.9506225586
493,200.0471954346,-339.2287292480
494,200.7419433594,-338.5059509277
495,201.4360046387,-337.7826538086
496,202.1297760010,-337.0593566895
497,202.8236846924,-336.3364868164
498,203.5180816650,-335.6144409180
499,204.2134246826,-334.8936767578
500,204.9100494385,-334.1746826172
501,205.6083984375,-333.4578247070
502,206.3088531494,-332.7435607910
503,207.0118103027,-332.0323791504
504,207.7176666260,-331.3246765137
505,208.4268035889,-330.6208801270
506,209.1396636963,-329.9214477539
507,209.8566131592,-329.2268371582
508,210.5780334473,-328.5374755859
509,211.3043670654,-327.8538208008
510,212.0359649658,-327.1762695312
511,212.7732543945,-326.5052490234
512,213.5166168213,-325.8412475586
513,214.2664489746,-325.1846923828
514,215.0231628418,-324.5360412598
515,215.7868499756,-323.8953247070
516,216.5572662354,-323.2623291016
517,217.3340911865,-322.6366882324
518,218.1170654297,-322.0181274414
519,218.9059295654,-321.4062805176
520,219.7003326416,-320.8008117676
521,220.5000610352,-320.2014465332
522,221.3047943115,-319.6078796387
523,222.1142425537,-319.0197143555
524,222.9281463623,-318.4367065430
525,223.7462005615,-317.8584594727
526,224.5681457520,-317.2847290039
527,225.3936767578,-316.7151794434
528,226.2225189209,-316.1494750977
529,227.0543823242,-315.5872802734
530,227.8889770508,-315.0283203125
531,228.7260284424,-314.4722290039
532,229.5652770996,-313.9187316895
533,230.4064025879,-313.3674621582
534,231.2491607666,-312.8181152344
535,232.0932159424,-312.2704162598
536,232.9383087158,-311.7239990234
537,233.7841644287,-311.1785583496
538,234.6305084229,-310.6337890625
539,235.4770202637,-310.0893554688
540,236.3234405518,-309.5449218750
541,237.1694793701,-309.0002136230
542,238.0148620605,-308.4548645020
543,238.8592987061,-307.9085998535
544,239.7024993896,-307.3610534668
545,240.5441741943,-306.8119506836
546,241.3840637207,-306.2609558105
547,242.2218627930,-305.7077636719
548,243.0573120117,-305.1520080566
549,243.8900756836,-304.5934448242
550,244.7199249268,-304.0316772461
551,245.5465545654,-303.4664306641
552,246.3696594238,-302.8973693848
553,247.1889953613,-302.3241882324
554,248.0042419434,-301.7465820312
555,248.8151397705,-301.1641845703
556,249.6214141846,-300.5767517090
557,250.4227447510,-299.9838867188
558,251.2188720703,-299.3853149414
559,252.0095062256,-298.7806701660
560,252.7943572998,-298.1697082520
561,253.5731658936,-297.5520324707
562,254.3456115723,-296.9273986816
563,255.1114196777,-296.2954406738
